,Unnamed: 0,Date,Symbol,Close,Adj Close,Name,Sector,Name_low2,url
282,566950,2023-02-03,MDT,87.0999984741211,87.0999984741211,Medtronic,Health Care,medtronic,https://app.outboundsales.io/api/logo/medtronic.com
283,568987,2023-02-03,MET,69.79000091552734,69.79000091552734,MetLife,Financials,metlife,https://app.outboundsales.io/api/logo/metlife.com
284,571024,2023-02-03,MGM,41.709999084472656,41.709999084472656,MGM Resorts International,Consumer Discretionary,mgm,https://app.outboundsales.io/api/logo/mgm.com
285,573061,2023-02-03,MHK,125.26000213623048,125.26000213623048,Mohawk Industries,Consumer Discretionary,mohawk,https://app.outboundsales.io/api/logo/mohawk.com
286,575098,2023-02-03,MKC,74.54000091552734,74.54000091552734,McCormick & Company,Consumer Staples,mccormick,https://app.outboundsales.io/api/logo/mccormick.com
287,577135,2023-02-03,MKTX,345.8999938964844,345.8999938964844,MarketAxess,Financials,marketaxess,https://app.outboundsales.io/api/logo/marketaxess.com
288,579172,2023-02-03,MLM,360.6300048828125,360.6300048828125,Martin Marietta Materials,Materials,martin,https://app.outboundsales.io/api/logo/martin.com
289,581209,2023-02-03,MMC,171.8800048828125,171.8800048828125,Marsh & McLennan,Financials,marsh,https://app.outboundsales.io/api/logo/marsh.com
290,583246,2023-02-03,MMM,117.48999786376952,117.48999786376952,3M,Industrials,3m,https://app.outboundsales.io/api/logo/3m.com
291,585283,2023-02-03,MNST,101.8000030517578,101.8000030517578,Monster Beverage,Consumer Staples,monster,https://app.outboundsales.io/api/logo/monster.com
292,587320,2023-02-03,MO,46.90999984741211,46.90999984741211,Altria Group,Consumer Staples,altria,https://app.outboundsales.io/api/logo/altria.com
293,589357,2023-02-03,MOS,50.43999862670898,50.43999862670898,The Mosaic Company,Materials,the,https://app.outboundsales.io/api/logo/the.com
294,591394,2023-02-03,MPC,118.1999969482422,118.1999969482422,Marathon Petroleum,Energy,marathon,https://app.outboundsales.io/api/logo/marathon.com
295,593431,2023-02-03,MPWR,456.2999877929688,456.2999877929688,Monolithic Power Systems,Information Technology,monolithic,https://app.outboundsales.io/api/logo/monolithic.com
296,595468,2023-02-03,MRK,102.94000244140624,102.94000244140624,Merck & Co.,Health Care,merck,https://app.outboundsales.io/api/logo/merck.com
297,596515,2023-02-03,MRNA,173.25,173.25,Moderna,Health Care,moderna,https://app.outboundsales.io/api/logo/moderna.com
298,598552,2023-02-03,MRO,26.030000686645508,26.030000686645508,Marathon Oil,Energy,marathon,https://app.outboundsales.io/api/logo/marathon.com
299,600589,2023-02-03,MS,99.43000030517578,99.43000030517578,Morgan Stanley,Financials,morgan,https://app.outboundsales.io/api/logo/morgan.com
300,602626,2023-02-03,MSCI,567.4299926757812,567.4299926757812,MSCI,Financials,msci,https://app.outboundsales.io/api/logo/msci.com
301,604663,2023-02-03,MSFT,258.3500061035156,258.3500061035156,Microsoft,Information Technology,microsoft,https://app.outboundsales.io/api/logo/microsoft.com
302,606700,2023-02-03,MSI,256.44000244140625,256.44000244140625,Motorola Solutions,Information Technology,motorola,https://app.outboundsales.io/api/logo/motorola.com
303,608737,2023-02-03,MTB,159.02000427246094,159.02000427246094,M&T Bank,Financials,m&t,https://app.outboundsales.io/api/logo/m.com
304,610774,2023-02-03,MTCH,48.45000076293945,48.45000076293945,Match Group,Communication Services,match,https://app.outboundsales.io/api/logo/match.com
305,612811,2023-02-03,MTD,1591.6500244140625,1591.6500244140625,Mettler Toledo,Health Care,mettler,https://app.outboundsales.io/api/logo/mettler.com
306,614848,2023-02-03,MU,62.40999984741211,62.40999984741211,Micron Technology,Information Technology,micron,https://app.outboundsales.io/api/logo/micron.com
